iter	Passed	Remaining
0	202	627677
1	289	449042
2	363	375001
3	375	290450
4	433	268491
5	493	254611
6	543	240086
7	598	231424
8	631	217019
9	672	207665
10	722	202995
11	780	200728
12	822	195363
13	885	195186
14	958	197058
15	1018	196333
16	1080	196027
17	1141	195466
18	1197	194107
19	1252	192906
20	1304	191296
21	1347	188510
22	1379	184581
23	1426	182860
24	1492	183582
25	1543	182481
26	1611	183411
27	1666	182827
28	1711	181239
29	1772	181359
30	1826	180777
31	1882	180453
32	1935	179837
33	1957	176560
34	2007	175791
35	2033	173069
36	2096	173525
37	2167	174631
38	2229	174949
39	2284	174800
40	2350	175340
41	2402	174958
42	2458	174786
43	2523	175250
44	2588	175751
45	2637	175130
46	2700	175405
47	2750	174907
48	2816	175346
49	2890	176337
50	2963	177157
51	3056	179154
52	3111	178909
53	3180	179405
54	3259	180464
55	3346	181919
56	3437	183509
57	3525	184906
58	3598	185488
59	3682	186575
60	3757	187174
61	3842	188265
62	3936	189748
63	4005	190001
64	4042	188745
65	4102	188580
66	4178	189136
67	4273	190527
68	4325	190023
69	4428	191678
70	4516	192672
71	4588	192968
72	4669	193643
73	4738	193765
74	4832	194920
75	4907	195279
76	4942	194021
77	5021	194561
78	5090	194659
79	5180	195568
80	5257	195960
81	5321	195853
82	5395	196124
83	5488	197074
84	5578	197856
85	5653	198146
86	5739	198775
87	5805	198715
88	5897	199528
89	5985	200187
90	6067	200634
91	6146	200965
92	6230	201452
93	6312	201872
94	6340	200574
95	6411	200623
96	6486	200814
97	6566	201163
98	6657	201815
99	6749	202473
100	6839	203085
101	6913	203214
102	6996	203574
103	7093	204359
104	7178	204763
105	7263	205173
106	7349	205577
107	7436	206016
108	7511	206118
109	7599	206559
110	7679	206799
111	7772	207357
112	7865	207910
113	7968	208706
114	8064	209321
115	8163	210006
116	8251	210382
117	8324	210366
118	8406	210592
119	8484	210694
120	8574	211095
121	8654	211249
122	8733	211374
123	8825	211805
124	8912	212129
125	8992	212243
126	9055	211994
127	9144	212324
128	9219	212332
129	9311	212736
130	9408	213226
131	9490	213395
132	9567	213443
133	9647	213538
134	9727	213653
135	9817	213962
136	9893	213973
137	9967	213941
138	10062	214353
139	10149	214586
140	10227	214642
141	10314	214867
142	10405	215164
143	10478	215107
144	10537	214751
145	10625	214982
146	10719	215336
147	10793	215293
148	10878	215455
149	10961	215574
150	11050	215815
151	11131	215885
152	11210	215931
153	11288	215945
154	11382	216258
155	11404	215226
156	11485	215297
157	11565	215360
158	11641	215322
159	11716	215292
160	11801	215429
161	11888	215600
162	11964	215577
163	12028	215347
164	12100	215250
165	12176	215223
166	12267	215443
167	12357	215672
168	12480	216453
169	12579	216815
170	12657	216798
171	12730	216720
172	12782	216273
173	12859	216238
174	12938	216263
175	13031	216508
176	13095	216264
177	13197	216649
178	13288	216849
179	13389	217203
180	13469	217226
181	13541	217116
182	13637	217385
183	13724	217501
184	13817	217720
185	13894	217681
186	13963	217516
187	13992	216727
188	14071	216737
189	14151	216734
190	14207	216379
191	14290	216446
192	14376	216534
193	14441	216324
194	14524	216378
195	14617	216577
196	14700	216625
197	14780	216626
198	14836	216287
199	14918	216314
200	15001	216358
201	15082	216381
202	15161	216365
203	15233	216249
204	15301	216093
205	15403	216403
206	15479	216338
207	15567	216449
208	15647	216448
209	15728	216460
210	15804	216396
211	15876	216278
212	15946	216139
213	16015	215986
214	16031	215115
215	16120	215236
216	16216	215443
217	16333	215934
218	16438	216257
219	16526	216341
220	16633	216692
221	16694	216430
222	16774	216411
223	16862	216500
224	16949	216572
225	17038	216672
226	17113	216596
227	17183	216455
228	17261	216409
229	17320	216131
230	17401	216123
231	17480	216097
232	17563	216114
233	17633	215976
234	17714	215969
235	17787	215860
236	17872	215905
237	17887	215106
238	17971	215137
239	18050	215097
240	18113	214886
241	18198	214922
242	18277	214896
243	18352	214814
244	18455	215065
245	18528	214955
246	18614	215009
247	18687	214909
248	18763	214834
249	18861	215020
250	18955	215161
251	19015	214908
252	19092	214851
253	19169	214790
254	19248	214754
255	19310	214529
256	19407	214685
257	19472	214501
258	19566	214627
259	19644	214581
260	19718	214488
261	19775	214206
262	19847	214100
263	19925	214048
264	20028	214269
265	20124	214411
266	20196	214297
267	20263	214128
268	20278	213412
269	20333	213124
270	20427	213240
271	20494	213081
272	20593	213248
273	20695	213446
274	20779	213462
275	20862	213462
276	20943	213440
277	21020	213378
278	21103	213384
279	21195	213468
280	21274	213426
281	21349	213344
282	21419	213212
283	21497	213155
284	21568	213039
285	21636	212882
286	21691	212610
287	21773	212593
288	21843	212462
289	21920	212399
290	22009	212460
291	22082	212355
292	22164	212343
293	22248	212346
294	22339	212418
295	22418	212374
296	22509	212442
297	22583	212342
298	22667	212346
299	22750	212341
300	22831	212306
301	22915	212309
302	23001	212330
303	23066	212148
304	23139	212051
305	23217	211995
306	23312	212089
307	23384	211975
308	23456	211865
309	23540	211863
310	23609	211726
311	23687	211667
312	23757	211539
313	23824	211385
314	23883	211160
315	23953	211036
316	24045	211101
317	24136	211156
318	24215	211106
319	24296	211079
320	24371	210989
321	24456	210995
322	24515	210774
323	24601	210779
324	24688	210800
325	24763	210718
326	24864	210857
327	24927	210665
328	24998	210553
329	25101	210703
330	25182	210661
331	25259	210595
332	25331	210488
333	25427	210577
334	25526	210686
335	25594	210544
336	25688	210615
337	25751	210429
338	25833	210399
339	25910	210332
340	25988	210270
