iter	MAE	RMSE
0	0.6707589368	0.8077497654
1	0.6685156581	0.8058781321
2	0.6662819275	0.8040761313
3	0.6640562601	0.8022821768
4	0.6618829584	0.8005777939
5	0.6597545924	0.7989675409
6	0.6580946218	0.7977831499
7	0.6561211651	0.7963875066
8	0.6544221401	0.795267795
9	0.6526599301	0.79409009
10	0.6508570151	0.792860124
11	0.6490584393	0.7916791568
12	0.6463524177	0.7898228941
13	0.643723757	0.7880686661
14	0.6411166554	0.7863435477
15	0.6384741145	0.7846307268
16	0.6358034119	0.7828894809
17	0.6333987072	0.7814573089
18	0.6310212539	0.7800190081
19	0.6285556435	0.7785019798
20	0.6263588354	0.7772402882
21	0.6240642048	0.7759014361
22	0.621845701	0.7746343281
23	0.6199500049	0.7737033876
24	0.61788497	0.7725268566
25	0.615886013	0.771471179
26	0.6139921093	0.7705302935
27	0.6122246064	0.7697302351
28	0.6105047037	0.7689038166
29	0.6088364742	0.7681503567
30	0.6071476871	0.7672814485
31	0.6055708882	0.7665207181
32	0.6041005686	0.7658510266
33	0.6026447047	0.7650884006
34	0.601271505	0.7643480912
35	0.6000690722	0.7636689961
36	0.598938612	0.7630184149
37	0.5978961151	0.762429358
38	0.5968060207	0.7617437157
39	0.5950593297	0.7604175596
40	0.5942028736	0.7598190857
41	0.5934751006	0.7594289476
42	0.5925660314	0.7587415896
43	0.5918472886	0.7582847618
44	0.5912236567	0.757904815
45	0.5901341615	0.7569629904
46	0.5896100607	0.7566192898
47	0.5890924344	0.7562989557
48	0.588648712	0.7560239394
49	0.5881274165	0.7556947292
50	0.5870335139	0.7547377561
51	0.5860133097	0.7538909217
52	0.5851517567	0.7531584366
53	0.5844678584	0.7526059764
54	0.5838630374	0.7521304521
55	0.583451175	0.7518601182
56	0.5829562759	0.7514717664
57	0.5823608278	0.75093345
58	0.5815656242	0.7502402487
59	0.58092762	0.7496865271
60	0.5804231956	0.7493015044
61	0.5798863807	0.7487819899
62	0.5794203002	0.7484386919
63	0.5788986274	0.7479523322
64	0.5784896627	0.7476132892
65	0.5780643133	0.7473122296
66	0.5777140085	0.7470731845
67	0.577313369	0.7468497539
68	0.5766422955	0.7462137735
69	0.5760733733	0.7457362579
70	0.5756026805	0.7452638512
71	0.575091309	0.7448240767
72	0.57447742	0.7443228236
73	0.5739123774	0.7439521677
74	0.5737335694	0.7437482814
75	0.5731031488	0.7431845724
76	0.5725589613	0.7426888345
77	0.5721810649	0.7423997051
78	0.5717402436	0.7419604391
79	0.5712477451	0.7415214228
80	0.5707897832	0.7410960922
81	0.570187688	0.7405324953
82	0.5696546538	0.7400972022
83	0.5691894126	0.7397218423
84	0.5687720799	0.7392913685
85	0.5680893177	0.7387832915
86	0.5676302955	0.7384373711
87	0.5672710797	0.7381564213
88	0.5667915762	0.7377292489
89	0.5665101518	0.7374609188
90	0.5661910275	0.7370681382
91	0.5656728812	0.7366637942
92	0.5651699306	0.7362225891
93	0.5646833905	0.7357930509
94	0.5641669134	0.7353795865
95	0.5638758738	0.7351862414
96	0.5633611499	0.7347881487
97	0.5632012177	0.734620243
98	0.5630151505	0.7344202799
99	0.5622766382	0.7337473085
100	0.5617400895	0.7333009594
101	0.5612202436	0.7328168236
102	0.5609108287	0.7325213392
103	0.5606188408	0.73215267
104	0.5602029325	0.7318159572
105	0.5597736901	0.7313815191
106	0.5593546002	0.7309994201
107	0.5592319036	0.7308405417
108	0.5589010696	0.7305305697
109	0.5585800063	0.7302084845
110	0.5582644856	0.7298052737
111	0.5580093122	0.7295184079
112	0.5577078592	0.7291534654
113	0.557312768	0.7288339042
114	0.5570392681	0.7285868679
115	0.5566405798	0.7281147244
116	0.5564401743	0.7278770032
117	0.5560996819	0.7274980668
118	0.5559629789	0.7273633959
119	0.5557127443	0.7271186284
120	0.5551060828	0.7265907123
121	0.5549285425	0.726413791
122	0.5546773328	0.726170329
123	0.5544776851	0.7259536495
124	0.5541692941	0.7255891402
125	0.55361477	0.7252420365
